Neighborhood,1stFlrSF,2ndFlrSF,BedroomAbvGr,KitchenAbvGr,FullBath,HalfBath,Fireplaces,YearBuilt,YrSold,SaleCondition,SalePrice
OldTown,1028,0,2,1,1,0,1,1927,2010,Normal,115000
SawyerW,1080,1017,3,1,2,1,1,1993,2008,Normal,228000
Gilbert,1340,0,3,1,2,0,0,2007,2007,Partial,181134
Sawyer,672,728,3,1,1,1,1,1978,2006,Normal,149500
Crawfor,1370,1254,4,1,2,1,1,1918,2007,Normal,239000
Edwards,756,378,3,1,1,1,0,1940,2007,AdjLand,126000
NAmes,1056,0,3,1,1,0,1,1968,2010,Normal,142000
Mitchel,1344,0,2,2,2,0,0,1997,2008,Alloca,206300
NWAmes,1602,0,3,1,2,0,1,1977,2009,Normal,215000
Mitchel,988,0,2,1,1,0,0,1954,2008,Normal,113000
NoRidge,1470,1160,4,1,2,1,1,1998,2008,Normal,315000
NAmes,1196,0,2,1,1,0,1,1956,2008,Normal,139000
OldTown,707,682,3,1,1,1,2,1946,2009,Normal,135000
SawyerW,1644,0,2,1,2,0,1,1989,2009,Normal,275000
NAmes,907,0,3,1,1,0,0,1957,2008,Normal,109008
CollgCr,1208,0,2,1,2,0,0,2007,2007,Partial,195400
Timber,1412,0,3,1,2,0,1,1988,2009,Normal,175000
BrDale,483,504,2,1,1,1,0,1971,2008,Abnorml,85400
OldTown,1088,110,4,1,1,0,0,1920,2008,Abnorml,79900
BrDale,765,600,2,1,1,1,0,1971,2007,Normal,122500
Gilbert,926,678,3,1,2,1,1,1997,2008,Normal,181000
MeadowV,630,0,1,1,1,0,0,1972,2008,Normal,81000
CollgCr,827,834,3,1,2,1,1,1996,2009,Normal,212000
OldTown,734,384,2,1,1,0,0,1920,2006,Normal,116000
BrkSide,904,0,2,1,1,0,0,1926,2009,Normal,119000
Crawfor,694,0,2,1,1,0,1,1913,2007,Normal,90350
Edwards,684,512,3,1,1,0,0,1920,2009,Normal,110000
NridgHt,2402,0,2,1,2,0,2,2008,2009,Normal,555000
Edwards,1440,0,4,2,2,0,0,1955,2008,Normal,118000
BrkSide,1128,445,3,1,2,0,1,1930,2008,Normal,162900
Blmngtn,1258,0,2,1,2,0,1,2006,2007,Partial,172500
CollgCr,933,975,4,1,2,1,1,1994,2008,Normal,210000
Edwards,1689,0,3,1,1,0,1,1956,2009,Normal,127500
NAmes,1888,0,2,1,2,1,1,1966,2010,Normal,190000
Gilbert,956,930,4,1,2,1,1,1998,2006,Normal,199900
IDOTRR,780,596,3,1,2,0,1,1937,2006,Normal,119500
OldTown,679,504,2,1,1,1,0,1948,2007,Normal,120000
OldTown,813,0,2,1,1,0,0,1930,2006,Normal,110000
ClearCr,1533,0,2,1,2,0,2,1975,2006,Normal,280000
Timber,888,868,3,1,2,1,0,1996,2007,Normal,204000
Somerst,786,804,3,1,2,1,0,2008,2009,Normal,210000
Mitchel,1728,0,4,2,2,0,0,1976,2006,Family,188000
NWAmes,1242,0,3,1,1,1,1,1973,2007,Normal,175500
OldTown,624,720,4,1,1,0,0,1916,2008,Abnorml,98000
ClearCr,1663,0,2,1,1,0,2,1954,2008,Normal,256000
OldTown,833,833,3,1,1,0,1,1925,2008,Normal,161000
BrkSide,979,224,3,1,1,0,1,1950,2009,Normal,110000
Somerst,832,1103,3,1,2,1,0,2009,2009,Partial,263435
SWISU,575,560,3,1,1,0,0,1936,2009,Normal,155000
Sawyer,864,0,3,1,1,0,1,1965,2009,Normal,62383
Crawfor,849,811,3,1,1,1,1,1934,2008,Normal,188700
CollgCr,1040,0,3,1,2,0,0,1978,2009,Normal,124000
Blmngtn,1414,0,2,1,2,0,1,2004,2006,Normal,178740
NAmes,1277,0,2,1,1,0,1,1970,2007,Normal,167000
NAmes,888,756,3,1,1,1,2,1942,2007,Normal,146500
NridgHt,1634,0,3,1,2,0,1,2006,2007,Normal,250000
SawyerW,832,878,3,1,2,1,0,1993,2008,Normal,187000
StoneBr,1502,0,1,1,1,1,0,1985,2010,Normal,212000
NWAmes,1161,808,3,1,2,1,1,1977,2007,Normal,190000
Edwards,1072,0,2,1,1,0,0,2005,2008,Normal,148000
NridgHt,1976,0,2,1,2,0,1,2006,2007,Partial,440000
StoneBr,1652,0,2,1,2,0,0,2000,2007,Normal,251000
Sawyer,970,0,2,1,1,0,0,1963,2007,Normal,132500
CollgCr,1493,0,3,1,2,0,1,1997,2008,Normal,208900
NridgHt,2069,574,3,1,2,1,1,2006,2007,Normal,380000
CollgCr,1718,0,3,1,2,0,1,2007,2009,Normal,297000
OldTown,1131,0,2,1,1,0,0,1937,2007,Alloca,89471
NridgHt,1850,0,3,1,2,0,1,2004,2006,Normal,326000
NridgHt,1792,0,2,1,2,0,1,2003,2006,Normal,374000
OldTown,916,910,4,1,1,1,1,1915,2009,Normal,155000
Mitchel,1216,0,2,1,2,0,0,1998,2006,Normal,164000
Sawyer,999,0,3,1,1,0,0,1962,2007,Normal,132500
NAmes,1113,0,3,1,1,0,1,1950,2009,Normal,147000
NAmes,1073,0,3,1,1,1,0,1965,2007,Normal,156000
NWAmes,1484,0,3,1,2,0,1,1971,2007,Normal,175000
OldTown,1766,648,3,2,2,0,1,1900,2006,Normal,160000
MeadowV,630,0,1,1,1,0,0,1970,2009,Normal,86000
MeadowV,616,688,3,1,1,1,1,1976,2008,Normal,115000
NAmes,958,620,3,1,1,0,2,1941,2006,Normal,133000
Gilbert,728,728,3,1,2,1,0,2006,2006,Partial,172785
NAmes,1269,0,3,1,1,1,1,1960,2008,Normal,155000
OldTown,886,0,2,1,1,0,0,1938,2009,Normal,91300
IDOTRR,720,0,2,1,1,0,0,1920,2009,Abnorml,34900
BrkSide,1133,687,4,1,2,0,0,1925,2008,Normal,184000
Sawyer,899,0,3,1,1,0,0,1967,2009,Normal,130000
NAmes,912,0,2,1,1,0,0,1958,2007,Normal,120000
BrDale,672,546,3,1,1,1,0,1973,2007,Normal,113000
Somerst,866,902,3,1,2,1,0,2005,2008,Normal,226700
Edwards,1214,0,2,1,1,0,0,1965,2007,Normal,140000
Crawfor,1801,0,1,1,2,0,2,1959,2010,Normal,289000
NPkVill,855,467,3,1,2,1,1,1974,2009,Normal,147000
OldTown,960,1000,4,2,2,0,0,1952,2009,Normal,124500
SawyerW,1065,846,3,1,2,1,1,1993,2006,Normal,215000
Somerst,1218,0,2,1,2,0,0,2009,2009,Partial,208300
OldTown,689,689,3,1,2,0,1,1928,2008,Normal,161000
NAmes,1041,0,3,1,1,0,0,1959,2009,Normal,124500
NAmes,1363,0,2,1,1,0,2,1951,2009,Normal,164900
NridgHt,1368,0,2,1,2,0,1,2005,2006,Partial,202665
NAmes,864,0,3,1,1,0,0,1958,2006,Normal,129900
Mitchel,1080,0,3,1,1,1,0,1983,2007,Normal,134000
Crawfor,789,0,2,1,1,0,0,1926,2007,Normal,96500
NridgHt,2020,0,3,1,2,1,1,2009,2009,Partial,402861
NWAmes,1378,741,3,1,2,1,1,1972,2009,Abnorml,158000
NoRidge,1277,1067,3,1,2,1,1,1996,2009,Normal,265000
CollgCr,882,914,3,1,2,1,0,1998,2007,Normal,211000
Crawfor,1276,804,3,1,1,1,2,1926,2009,Normal,234000
OldTown,694,600,3,2,2,0,0,1900,2008,Normal,106250
NAmes,1244,0,3,1,1,1,2,1957,2007,Normal,150000
BrkSide,1004,660,3,1,2,0,2,1947,2006,Normal,159000
NoRidge,1383,1015,3,1,2,1,1,1996,2007,Normal,315750
Somerst,1266,0,3,1,2,0,1,2005,2006,Normal,176000
NAmes,928,0,2,1,1,0,0,1956,2007,Normal,132000
NridgHt,1476,1237,3,1,2,1,1,2008,2008,Partial,446261
Edwards,605,0,2,1,1,0,0,1920,2007,Normal,86000
Crawfor,2515,0,4,2,3,0,2,1957,2007,Alloca,200624
Timber,1509,0,3,1,2,0,1,1988,2008,Abnorml,175000
BrkSide,751,611,3,1,2,0,0,1920,2008,Normal,128000
NAmes,827,0,2,1,1,0,1,1955,2010,Normal,107500
BrkSide,334,0,1,1,1,0,0,1946,2007,Normal,39300
Gilbert,707,707,3,1,2,1,1,2004,2006,Normal,178000
Edwards,820,527,3,1,1,0,0,1910,2008,Normal,107500
CollgCr,880,844,3,1,2,1,0,1998,2008,Normal,188000
NAmes,864,0,3,1,1,0,0,1972,2008,Normal,111250
Sawyer,1159,0,3,1,1,1,1,1968,2006,Normal,158000
CollgCr,1601,0,3,1,2,0,1,2001,2010,Normal,272000
Timber,1838,0,2,1,2,0,1,2006,2009,Normal,315000
NoRidge,997,1288,4,1,2,1,1,2000,2007,Normal,248000
NWAmes,1680,0,3,1,2,0,1,1998,2009,Normal,213250
NAmes,767,0,1,1,1,0,0,1998,2007,Normal,133000
Gilbert,664,832,3,1,2,1,1,2006,2006,Partial,179665
NWAmes,1377,806,4,1,2,1,0,1988,2006,Normal,229000
BrkSide,915,720,3,1,1,1,1,1923,2007,Normal,210000
Mitchel,768,0,2,1,1,0,0,1970,2007,Normal,129500
OldTown,825,0,2,1,1,0,0,1955,2008,Normal,125000
Somerst,912,1182,4,1,2,1,1,2003,2009,Normal,263000
NPkVill,1069,0,2,1,2,0,0,1977,2008,Abnorml,140000
OldTown,928,0,3,1,1,0,0,1957,2008,Normal,112500
NridgHt,1717,0,3,1,2,0,1,2006,2009,Normal,255500
Edwards,1126,0,2,1,2,0,0,1949,2009,Normal,108000
NridgHt,1006,1040,3,1,2,1,1,2003,2008,Normal,284000
BrkSide,1048,0,2,1,1,0,1,1922,2006,Normal,113000
NAmes,1092,0,2,1,1,0,1,1957,2006,Normal,141000
IDOTRR,897,439,3,1,1,1,0,1920,2006,Normal,108000
Gilbert,729,717,3,1,2,1,1,1996,2008,Normal,175000
Blmngtn,1557,0,2,1,2,0,1,2003,2006,Normal,234000
Sawyer,1392,0,3,1,1,1,1,1957,2010,Normal,121500
Mitchel,1389,0,2,1,1,0,1,1974,2006,Normal,170000
Edwards,996,0,3,1,1,0,1,1940,2008,Normal,108000
Edwards,1163,511,4,1,2,0,1,1918,2008,Normal,185000
NoRidge,1166,1129,4,1,2,1,1,1992,2006,Normal,268000
SWISU,841,806,4,1,1,1,0,1915,2010,Normal,128000
StoneBr,1134,1370,4,1,2,1,1,2005,2008,Normal,325000
NridgHt,1535,0,3,1,2,0,0,2004,2010,Normal,214000
SawyerW,1496,636,1,1,1,1,1,1983,2009,Normal,316600
NAmes,943,0,2,1,1,0,2,1979,2006,Normal,135960
NAmes,1728,0,6,2,2,0,0,1965,2008,Normal,142600
NAmes,864,0,2,1,1,0,0,1959,2006,Abnorml,120000
Timber,846,846,3,1,2,1,0,2009,2009,Partial,224500
Gilbert,774,656,3,1,2,1,1,2000,2007,Normal,170000
NAmes,576,533,3,1,1,0,0,1971,2007,Normal,139000
NAmes,832,384,2,1,1,0,0,1947,2008,Abnorml,118500
SWISU,877,600,3,1,2,0,1,1928,2009,Normal,145000
Sawyer,1320,0,3,1,1,0,2,1966,2006,Abnorml,164500
Somerst,703,689,2,1,2,0,0,2007,2008,Abnorml,146000
OldTown,1050,745,4,1,2,0,0,1954,2008,Normal,131500
NAmes,1429,0,3,1,1,0,2,1960,2007,Normal,181900
NridgHt,2042,0,3,1,2,1,1,2008,2009,Partial,253293
Edwards,816,0,3,1,1,0,0,1990,2007,Normal,118500
OldTown,1521,1254,3,1,3,1,1,1893,2008,Normal,325000
BrkSide,989,584,3,1,1,0,0,1935,2009,Normal,133000
Timber,2028,0,2,1,2,0,2,2005,2006,Partial,369900
BrkSide,838,0,2,1,1,0,0,1918,2008,Normal,130000
Sawyer,860,0,2,1,1,0,0,1982,2009,Normal,137000
ClearCr,1473,0,1,1,1,0,2,1968,2009,Partial,143000
BrkSide,779,0,2,1,1,0,0,1930,2008,Normal,79500
CollgCr,770,812,3,1,2,1,0,2004,2008,Normal,185900
NridgHt,1728,568,3,1,2,1,1,2008,2009,Normal,451950
Mitchel,816,0,2,1,1,0,0,1982,2008,Normal,138000
CollgCr,848,0,1,1,1,0,0,2003,2009,Normal,140000
CollgCr,924,0,3,1,1,0,0,1975,2008,Normal,110000
StoneBr,1826,0,3,1,2,0,1,2005,2006,Partial,319000
OldTown,684,684,3,1,1,0,0,1910,2006,Normal,114504
Blmngtn,1402,0,2,1,0,2,1,2006,2007,Partial,194201
Crawfor,1647,0,3,1,2,0,1,1977,2006,Normal,217500
Blueste,716,840,3,1,2,1,1,1980,2008,Normal,151000
NridgHt,1058,846,3,1,2,1,1,2005,2006,Normal,275000
IDOTRR,780,595,3,1,1,1,1,1937,2007,Normal,141000
SawyerW,927,988,3,1,2,1,1,1992,2006,Abnorml,220000
Somerst,600,600,2,1,2,1,0,2004,2010,Normal,151000
CollgCr,1494,0,3,1,2,0,1,2002,2008,Normal,221000
NAmes,1186,800,3,1,2,1,3,1965,2009,Normal,205000
CollgCr,1040,0,3,1,1,0,0,1996,2009,Normal,152000
Edwards,1112,896,3,1,3,0,0,1948,2006,Normal,225000
Crawfor,1940,1254,4,1,2,1,2,1934,2007,Alloca,359100
Sawyer,1029,0,3,1,1,0,0,1961,2007,Normal,118500
CollgCr,1476,677,3,1,2,1,2,2000,2009,Normal,313000
NWAmes,1032,0,3,1,2,0,1,1978,2007,Normal,148000
CollgCr,1299,573,3,1,2,1,1,2001,2009,Normal,261500
Mitchel,1120,0,3,1,1,0,0,2007,2007,Partial,147000
MeadowV,630,0,1,1,1,0,0,1972,2010,Normal,75500
NAmes,1054,0,3,1,1,0,0,1963,2010,Abnorml,137500
Gilbert,807,702,3,1,2,1,1,2002,2006,Normal,183200
NAmes,832,0,2,1,1,0,0,1954,2008,Normal,105500
NridgHt,1828,0,3,1,2,0,1,2007,2007,Partial,314813
Timber,1482,780,4,1,2,1,2,2003,2008,Normal,305000
Edwards,864,0,2,1,1,0,0,1914,2008,Normal,67000
NWAmes,1548,1066,4,1,2,1,1,1974,2008,Normal,240000
Sawyer,980,0,3,1,1,0,0,1977,2009,Normal,135000
Somerst,756,756,2,1,2,1,1,2000,2007,Normal,168500
NWAmes,1012,778,4,1,1,2,1,1972,2006,Normal,165150
NAmes,1116,0,3,1,1,1,0,1962,2010,Normal,160000
NAmes,1422,0,3,1,1,0,1,1960,2007,Normal,139900
NAmes,1520,0,3,1,1,0,2,1955,2010,Normal,153000
NAmes,1040,1040,5,1,1,2,2,1969,2007,Family,135000
NAmes,1350,0,3,1,1,1,0,1964,2008,Normal,168500
OldTown,1089,661,3,1,1,0,0,1880,2006,Abnorml,124000
NridgHt,1554,0,2,1,2,0,1,2006,2007,Normal,209500
NWAmes,1411,0,3,1,2,0,1,1977,2009,Family,82500
NAmes,1056,0,3,1,1,0,0,1954,2007,Normal,139400
OldTown,1056,0,0,2,0,0,0,1980,2010,Normal,144000
SWISU,1440,1440,8,2,2,0,0,1914,2007,Abnorml,200000
BrkSide,800,0,1,1,1,0,1,1936,2009,Normal,60000
OldTown,811,576,3,2,2,0,0,1954,2009,Normal,93000
Edwards,796,0,2,1,1,0,0,1910,2008,Normal,85000
Blmngtn,1567,0,1,1,2,0,1,2006,2006,Partial,264561
NridgHt,1518,0,1,1,1,1,1,2003,2008,Normal,274000
Somerst,1057,872,3,1,2,1,1,2001,2007,Normal,226000
NAmes,2000,704,4,1,2,1,3,1972,2009,Normal,345000
NWAmes,780,840,4,1,2,1,0,1969,2007,Normal,152000
Somerst,1766,0,2,1,2,1,1,2009,2009,Partial,370878
NAmes,981,0,3,1,1,1,0,1971,2007,Normal,143250
NAmes,1048,0,3,1,1,0,0,1950,2008,Normal,98300
Edwards,1094,0,3,1,1,0,2,1953,2008,Normal,155000
NAmes,1051,788,4,1,1,1,1,1966,2010,Normal,155000
MeadowV,630,0,1,1,1,0,0,1970,2007,Normal,84500
Somerst,822,843,3,1,2,1,0,2007,2008,Normal,205950
Edwards,755,755,4,1,1,0,1,1940,2009,Normal,108000
CollgCr,909,807,2,1,2,1,1,1996,2009,Normal,191000
IDOTRR,756,713,3,1,1,0,0,1906,2008,Normal,135000
NoRidge,2113,0,2,1,2,1,1,1995,2008,Normal,350000
BrDale,525,567,3,1,1,1,0,1971,2010,Family,88000
NAmes,1053,0,3,1,1,1,0,1959,2008,Normal,145500
Crawfor,851,651,3,1,1,1,1,1931,2008,Normal,149000
NAmes,912,546,3,1,1,0,1,1948,2010,Abnorml,97500
Edwards,1486,0,3,1,1,0,0,1964,2009,Normal,167000
NWAmes,1142,793,3,1,2,1,1,1976,2007,Normal,197900
NoRidge,1686,762,4,1,2,1,1,1994,2009,Normal,402000
NAmes,1392,0,2,1,1,0,2,1968,2009,Normal,110000
Edwards,1181,0,3,1,2,0,0,1972,2008,Normal,137500
Somerst,2097,0,1,1,1,1,1,2005,2006,Partial,423000
Gilbert,1454,482,3,1,2,1,1,2000,2006,Normal,230500
NAmes,1465,915,3,1,2,1,1,1965,2007,Abnorml,129000
SawyerW,1679,0,3,1,2,0,1,1994,2008,Normal,193500
Sawyer,1437,0,3,1,1,1,1,1956,2006,Normal,168000
Crawfor,1180,0,2,1,1,0,1,1922,2006,Normal,137500
CollgCr,738,738,3,1,2,1,0,2005,2009,Normal,173500
Edwards,697,672,3,1,2,0,0,1925,2009,Normal,103600
Veenker,1208,0,3,1,1,1,1,1977,2006,Normal,165000
Crawfor,1839,0,3,1,2,0,2,1957,2007,Normal,257500
NAmes,1136,0,3,1,1,0,1,1965,2008,Normal,140000
NPkVill,855,586,3,1,2,1,1,1978,2009,Normal,148500
OldTown,1095,679,4,2,2,0,0,1900,2006,Normal,87000
OldTown,792,0,2,1,1,0,0,1924,2009,Normal,109500
StoneBr,2046,0,3,1,2,1,1,2008,2009,Partial,372500
Sawyer,988,0,3,1,1,0,0,1961,2007,Normal,128500
SawyerW,923,0,2,1,2,0,1,1980,2010,Normal,143000
SWISU,848,672,3,1,1,0,0,1932,2009,Abnorml,159434
ClearCr,1291,0,2,1,1,0,1,1996,2008,Normal,173000
CollgCr,1668,0,3,1,2,0,1,2002,2007,Normal,285000
NoRidge,1195,644,4,1,2,1,0,1998,2010,Normal,221000
StoneBr,1190,900,3,1,2,0,1,1984,2007,Normal,207500
Somerst,874,887,3,1,3,0,0,2007,2007,Partial,227875
Somerst,551,551,2,1,2,1,0,2004,2007,Normal,148800
StoneBr,1419,0,2,1,2,0,1,2007,2007,Partial,392000
NridgHt,1362,0,2,1,2,0,1,2005,2007,Normal,194700
CollgCr,848,0,1,1,1,0,1,2004,2008,Normal,141000
Timber,1238,1281,4,1,2,1,2,1989,2006,Normal,335000
OldTown,1073,0,2,1,1,0,0,1921,2006,Abnorml,108480
BrkSide,1067,472,3,1,1,1,0,1936,2009,Normal,141500
Timber,1137,0,2,1,2,0,1,1987,2006,Normal,176000
BrkSide,616,0,2,1,1,0,0,1921,2006,Normal,89000
Edwards,1148,0,2,1,1,0,0,1952,2006,Normal,123500
Sawyer,894,0,3,1,1,0,1,1965,2010,Normal,138500
Somerst,1391,0,2,1,2,0,0,2004,2008,Normal,196000
Timber,1800,0,3,1,2,0,1,2002,2006,Normal,312500
NWAmes,1164,0,3,1,1,1,0,1969,2006,Normal,140000
StoneBr,1264,1312,4,1,2,1,1,2006,2006,Partial,361919
OldTown,1032,780,4,2,2,0,1,1900,2010,Normal,140000
CollgCr,1484,0,3,1,2,0,0,2004,2010,Normal,213000
IDOTRR,372,720,3,2,2,0,0,1930,2010,Normal,55000
ClearCr,1824,0,2,1,2,0,2,1971,2007,Normal,302000
NridgHt,1324,0,2,1,2,0,1,2006,2009,Normal,254000
Gilbert,728,728,3,1,2,1,1,2007,2007,Partial,179540
Sawyer,904,0,3,1,1,0,0,1966,2008,Abnorml,109900
BrkSide,729,0,2,1,1,0,0,1935,2008,Normal,52000
IDOTRR,859,319,2,1,1,0,0,1900,2010,Abnorml,102776
StoneBr,1228,0,2,1,2,0,1,1988,2008,Normal,189000
BrkSide,960,0,3,1,1,0,0,1970,2006,Normal,129000
Sawyer,725,754,3,1,2,1,0,1976,2010,Normal,130500
NWAmes,1350,0,3,1,2,0,1,1974,2009,Normal,165000
OldTown,1576,978,3,1,1,1,0,1890,2007,Normal,159500
NWAmes,1178,0,3,1,1,1,1,1973,2008,Normal,157000
NoRidge,1325,1093,3,1,2,1,1,1993,2008,Normal,341000
CollgCr,971,0,3,1,1,1,1,1969,2006,Normal,128500
StoneBr,1742,0,2,1,2,0,1,1985,2006,Normal,275000
CollgCr,848,0,1,1,1,0,0,2004,2010,Normal,143000
NAmes,864,0,3,1,1,0,0,1970,2009,Normal,124500
Edwards,997,473,4,1,2,0,0,1954,2008,Normal,135000
Edwards,1698,0,3,1,2,0,1,2007,2009,Normal,320000
NAmes,864,0,3,1,1,0,0,1970,2009,Normal,120500
Crawfor,1680,0,3,1,2,0,1,1988,2009,Normal,222000
CollgCr,1232,0,2,1,2,0,0,2007,2009,Normal,194500
NAmes,1776,0,4,2,2,0,0,1958,2009,Abnorml,110000
IDOTRR,848,0,2,1,1,0,0,1925,2009,Normal,103000
StoneBr,1616,0,2,1,2,0,1,1995,2010,Normal,236500
Timber,1146,0,3,1,2,0,1,2003,2007,Normal,187500
CollgCr,1153,878,3,1,2,1,1,1998,2008,Normal,222500
Sawyer,1144,0,3,1,1,0,1,1961,2009,Normal,131400
Sawyer,948,0,3,1,1,0,0,1968,2007,Family,108000
OldTown,880,888,2,1,1,1,2,1914,2006,Normal,163000
NAmes,1040,0,2,2,2,0,0,1950,2006,Normal,93500
Gilbert,901,900,3,1,2,1,1,2005,2006,Normal,239900
Edwards,1200,0,3,1,3,0,0,1987,2009,Alloca,179000
CollgCr,864,864,3,1,2,1,0,2004,2009,Normal,190000
OldTown,768,664,2,1,2,0,0,1910,2007,Abnorml,132000
Sawyer,912,0,3,1,1,0,0,1961,2008,Normal,142000
SawyerW,1349,0,3,1,2,0,0,2000,2007,Normal,179000
Sawyer,1464,0,3,1,2,0,1,1963,2009,Normal,175000
StoneBr,1337,0,2,1,2,0,1,1993,2008,Normal,180000
NWAmes,1175,1540,4,1,3,1,2,1976,2008,Normal,299800
Gilbert,980,1276,4,1,2,1,1,2000,2009,Normal,236000
OldTown,1320,1320,4,1,1,1,1,1880,2009,Normal,265979
NoRidge,1720,0,3,1,2,0,1,1996,2010,Normal,260400
Edwards,1088,441,4,1,2,0,0,1945,2009,Normal,98000
OldTown,792,348,3,1,1,0,0,1910,2010,Normal,96500
Gilbert,660,660,3,1,2,1,0,2003,2007,Normal,162000
CollgCr,1494,0,3,1,2,0,0,1997,2006,Normal,217000
NridgHt,1038,1060,3,1,2,1,1,2005,2006,Normal,275500
NAmes,1026,0,3,1,1,0,0,1969,2009,Normal,156000
Somerst,742,729,3,1,2,1,0,1999,2009,Normal,172500
CollgCr,866,902,3,1,2,1,0,2007,2009,Normal,212000
Sawyer,672,714,3,1,2,1,1,1978,2010,Abnorml,158900
Somerst,757,744,3,1,2,1,0,1999,2008,Normal,179400
NoRidge,1328,1203,4,1,2,1,1,1995,2007,Normal,290000
NAmes,864,0,2,1,1,0,0,1959,2009,Normal,127500
BrkSide,1301,0,2,1,1,0,0,1924,2009,Normal,100000
Somerst,764,783,3,1,2,1,0,2009,2010,Normal,215200
NoRidge,1268,1097,3,1,2,1,1,1999,2009,Normal,337000
Veenker,1494,0,2,1,1,1,1,1995,2006,Normal,270000
Somerst,1506,0,2,1,2,0,1,2008,2008,Partial,264132
NWAmes,980,734,3,1,2,1,1,1988,2010,Normal,196500
Mitchel,983,767,4,1,2,0,0,1940,2008,Normal,160000
CollgCr,1836,0,3,1,2,0,1,2004,2006,Normal,216837
StoneBr,1690,1589,4,1,3,1,1,2003,2010,Normal,538000
Sawyer,858,0,2,1,1,0,0,1982,2009,Normal,134900
Edwards,1220,0,2,1,1,0,0,1951,2006,Normal,102000
Edwards,1117,0,3,1,1,0,1,1976,2010,Abnorml,107000
NAmes,912,0,2,1,1,0,0,1958,2007,Normal,114500
NridgHt,1973,0,3,1,2,0,1,2006,2007,Partial,395000
Mitchel,1204,0,2,1,2,0,0,1998,2009,Normal,162000
CollgCr,1614,0,3,1,2,0,0,2005,2006,Partial,221500
Sawyer,894,0,3,1,1,0,1,1974,2006,Normal,142500
SawyerW,2020,0,4,2,2,0,2,1977,2007,Normal,144000
Mitchel,1004,0,2,1,1,0,0,1977,2006,Normal,135000
Gilbert,1253,0,3,1,2,0,1,1995,2007,Normal,176000
SawyerW,810,793,3,1,2,1,0,1992,2006,Normal,175900
CollgCr,1430,0,3,1,2,0,0,2001,2009,Normal,187100
Mitchel,1110,0,1,1,1,0,1,1978,2009,Normal,165500
OldTown,742,742,3,1,2,0,1,1914,2008,Normal,128000
NWAmes,1342,0,3,1,2,0,1,1967,2009,Normal,161500
OldTown,966,686,4,1,2,0,0,1915,2010,Normal,139000
SawyerW,956,1128,4,1,2,1,0,2004,2010,Normal,233000
OldTown,901,0,2,1,1,0,0,1954,2008,Normal,107900
ClearCr,976,1111,5,1,2,1,0,1966,2007,Normal,187500
Blmngtn,1145,0,2,1,2,0,1,2005,2009,Normal,160200
Mitchel,1062,0,3,1,1,0,2,1976,2007,Normal,146800
NoRidge,1127,886,3,1,2,1,1,1996,2007,Normal,269790
Somerst,1496,0,3,1,2,0,0,2007,2007,Partial,225000
Gilbert,1086,809,3,1,2,1,1,1994,2008,Normal,194500
SawyerW,888,676,3,1,2,1,1,1980,2010,Normal,171000
Sawyer,1285,0,3,1,1,1,1,1977,2007,Normal,143500
NAmes,773,0,2,1,1,0,0,1953,2008,Abnorml,110000
NridgHt,1966,1174,4,1,3,1,2,2008,2009,Partial,485000
SWISU,981,787,3,1,1,1,2,1937,2007,Normal,175000
ClearCr,616,1072,4,1,2,1,0,1997,2008,Normal,200000
IDOTRR,1196,0,2,1,1,0,0,1916,2007,Normal,109900
CollgCr,728,728,3,1,2,1,1,2005,2008,Normal,189000
NridgHt,1734,1088,4,1,3,1,1,2008,2009,Partial,582933
NAmes,1128,0,2,1,1,0,0,1954,2006,Family,118000
Somerst,1428,0,3,1,2,0,0,2008,2008,Partial,227680
NAmes,980,0,3,1,2,0,0,1967,2006,Normal,135500
BrkSide,1072,504,3,1,1,1,1,1923,2009,Normal,223500
NAmes,1086,0,3,1,1,0,1,1966,2006,Normal,159950
OldTown,1075,1063,2,3,2,0,0,1898,2009,Normal,106000
NWAmes,1309,0,3,1,1,1,1,1974,2006,Normal,181000
CollgCr,848,0,1,1,1,0,1,2004,2008,Normal,144500
IDOTRR,1044,0,2,1,1,0,0,1952,2010,Alloca,55993
NAmes,1442,0,4,1,1,1,0,1958,2007,Normal,157900
Edwards,686,564,3,1,1,1,0,1918,2006,Normal,116000
CollgCr,1661,0,3,1,2,0,0,1998,2010,Normal,224900
NAmes,1008,0,2,1,1,0,1,1954,2006,Normal,137000
Mitchel,1689,0,3,1,2,0,2,2002,2008,Normal,271000
ClearCr,1052,0,3,1,1,0,0,1971,2010,Normal,155000
NridgHt,1358,0,2,1,2,0,1,2009,2010,Partial,224000
CollgCr,798,842,3,1,2,1,0,2003,2008,Normal,183000
OldTown,936,0,2,1,1,0,0,1953,2009,Normal,93000
Gilbert,847,886,3,1,2,1,1,2003,2007,Family,225000
SWISU,944,545,3,1,2,0,1,1940,2009,Normal,139500
Somerst,1489,0,3,1,2,0,1,2006,2006,Partial,232600
NridgHt,2084,0,2,1,2,0,1,2007,2008,Partial,385000
BrkSide,784,0,2,1,1,0,0,1924,2008,Normal,109500
SawyerW,1434,0,3,1,2,0,1,2001,2009,Normal,189000
ClearCr,1160,966,3,1,2,1,0,1967,2009,Abnorml,185000
Somerst,520,623,2,1,2,1,0,2005,2006,Normal,147400
NAmes,1392,0,3,1,1,1,2,1957,2008,Normal,166000
Somerst,520,600,2,1,2,1,0,2005,2006,Normal,151000
